"title","description","price","sale_price","category","variants","image_url"
"Diamond-Cut Solitaire Designer Bracelets","A timeless Diamond-Cut bracelet — solitaire-inspired design that pairs beautifully for office wear.","2789","","Bracelets","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1127"
"Rose Gold Heart Statement Necklaces","Handcrafted Rose Gold necklace featuring a heart motif, ideal for festive occasions.","8519","6939","Necklaces","Gold, Silver","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1128"
"Polki Peacock Festive Bracelets","Handcrafted Polki bracelet featuring a peacock motif, ideal for daily wear.","11539","9399","Bracelets","Silver, Rose Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1129"
"Pearl Temple Coin Vintage Rings","Elegant vintage ring in Pearl, designed to elevate any traditional ceremonies look.","2229","1759","Rings","9, 10","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1130"
"Oxidised Silver Leaf Statement Bangles","Statement bangle set with intricate leaf detailing and a lightweight Oxidised Silver body.","15809","","Bangles","2.10, 2.6, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1131"
"Temple Paisley Boho Rings","Elegant boho ring in Temple, designed to elevate any festive occasions look.","8989","6599","Rings","6, 10, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1132"
"Pearl Temple Coin Statement Toe Rings","Pearl temple coin toe ring with a statement finish — perfect for anniversaries.","1249","899","Toe Rings","Oxidised, Silver","https://loremflickr.com/600/600/toe,ring,silver?lock=1133"
"Diamond-Cut Cluster Festive Necklaces","Diamond-Cut cluster necklace with a festive finish — perfect for office wear.","9219","5739","Necklaces","Gold, Rose Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1134"
"American Diamond Peacock Bridal Toe Rings","Bridal toe ring with intricate peacock detailing and a lightweight American Diamond body.","789","","Toe Rings","Silver, Oxidised","https://loremflickr.com/600/600/toe,ring,silver?lock=1135"
"Kundan Chandbali Traditional Nathiya (Nose Ring)","Elegant traditional nath in Kundan, designed to elevate any parties look.","4329","","Nathiya (Nose Ring)","Kundan, Gold","https://loremflickr.com/600/600/nath,jewellery,bridal?lock=1136"
"Polki Teardrop Traditional Bracelets","A timeless Polki bracelet — teardrop-inspired design that pairs beautifully for weddings.","7579","5869","Bracelets","Gold, Rose Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1137"
"Oxidised Silver Paisley Vintage Chains","Handcrafted Oxidised Silver chain featuring a paisley motif, ideal for festive occasions.","5669","4379","Chains","Silver, Rose Gold","https://loremflickr.com/600/600/chain,gold,jewellery?lock=1138"
"Rose Gold Floral Contemporary Mangalsutra","Elegant contemporary mangalsutra in Rose Gold, designed to elevate any weddings look.","14789","","Mangalsutra","Rose Gold, Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1139"
"Kundan Teardrop Ethnic Pendants","Handcrafted Kundan pendant featuring a teardrop motif, ideal for weddings.","6499","","Pendants","Silver, Rose Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1140"
"Antique Heart Royal Pendants","Handcrafted Antique pendant featuring a heart motif, ideal for festive occasions.","7299","","Pendants","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1141"
"Beaded Jhumka Traditional Jewellery Sets","A timeless Beaded jewellery set — jhumka-inspired design that pairs beautifully for anniversaries.","16209","10629","Jewellery Sets","Rose Gold, Silver","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1142"
"Filigree Peacock Statement Brooches","Elegant statement brooch in Filigree, designed to elevate any festive occasions look.","5699","3989","Brooches","Antique, Silver","https://loremflickr.com/600/600/brooch,jewellery?lock=1143"
"Rose Gold Layered Office Wear Toe Rings","Office Wear toe ring with intricate layered detailing and a lightweight Rose Gold body.","1719","1489","Toe Rings","Silver, Oxidised","https://loremflickr.com/600/600/toe,ring,silver?lock=1144"
"Meenakari Lotus Boho Nathiya (Nose Ring)","Meenakari lotus nath with a boho finish — perfect for festive occasions.","7749","5959","Nathiya (Nose Ring)","Kundan, Gold","https://loremflickr.com/600/600/nath,jewellery,bridal?lock=1145"
"Jadau Temple Coin Statement Pendants","Elegant statement pendant in Jadau, designed to elevate any traditional ceremonies look.","5439","","Pendants","Silver, Rose Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1146"
"Rose Gold Choker Handcrafted Necklaces","Elegant handcrafted necklace in Rose Gold, designed to elevate any daily wear look.","10499","8629","Necklaces","Gold, Rose Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1147"
"American Diamond Temple Coin Royal Necklaces","A timeless American Diamond necklace — temple coin-inspired design that pairs beautifully for weddings.","2639","1759","Necklaces","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1148"
"American Diamond Temple Coin Designer Maang Tikka","Elegant designer maang tikka in American Diamond, designed to elevate any gifting look.","6779","5519","Maang Tikka","Gold, Kundan, Silver","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1149"
"Polki Heart Traditional Bangles","Traditional bangle set with intricate heart detailing and a lightweight Polki body.","9179","7859","Bangles","2.6, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1150"
"Jadau Leaf Vintage Maang Tikka","Elegant vintage maang tikka in Jadau, designed to elevate any office wear look.","3979","3339","Maang Tikka","Gold, Kundan, Silver","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1151"
"Kundan Jhumka Festive Jewellery Sets","A timeless Kundan jewellery set — jhumka-inspired design that pairs beautifully for parties.","22659","","Jewellery Sets","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1152"
"Temple Paisley Boho Earrings","A timeless Temple earrings — paisley-inspired design that pairs beautifully for office wear.","4379","","Earrings","Silver, Oxidised","https://loremflickr.com/600/600/earrings,jewellery?lock=1153"
"American Diamond Lotus Handcrafted Nose Pins","A timeless American Diamond nose pin — lotus-inspired design that pairs beautifully for festive occasions.","569","499","Nose Pins","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1154"
"Antique Lotus Designer Rings","Handcrafted Antique ring featuring a lotus motif, ideal for daily wear.","15539","11569","Rings","10, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1155"
"Sterling Silver Geometric Royal Anklets","A timeless Sterling Silver anklet — geometric-inspired design that pairs beautifully for gifting.","4639","2999","Anklets","Gold, Silver, Oxidised","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1156"
"Kundan Infinity Statement Brooches","A timeless Kundan brooch — infinity-inspired design that pairs beautifully for daily wear.","5599","","Brooches","Gold, Silver, Antique","https://loremflickr.com/600/600/brooch,jewellery?lock=1157"
"American Diamond Solitaire Bridal Maang Tikka","Handcrafted American Diamond maang tikka featuring a solitaire motif, ideal for anniversaries.","9929","8359","Maang Tikka","Gold, Kundan","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1158"
"Gold-Plated Jhumka Party Wear Maang Tikka","Gold-Plated jhumka maang tikka with a party wear finish — perfect for weddings.","5649","4659","Maang Tikka","Kundan, Silver, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1159"
"Beaded Leaf Office Wear Rings","Office Wear ring with intricate leaf detailing and a lightweight Beaded body.","16019","12329","Rings","8, 10, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1160"
"Rose Gold Geometric Festive Toe Rings","Rose Gold geometric toe ring with a festive finish — perfect for weddings.","849","539","Toe Rings","Silver, Oxidised","https://loremflickr.com/600/600/toe,ring,silver?lock=1161"
"Diamond-Cut Choker Royal Bracelets","Handcrafted Diamond-Cut bracelet featuring a choker motif, ideal for daily wear.","4769","","Bracelets","Rose Gold, Silver","https://loremflickr.com/600/600/bracelet,jewellery?lock=1162"
"Beaded Jhumka Party Wear Nose Pins","A timeless Beaded nose pin — jhumka-inspired design that pairs beautifully for office wear.","2339","2019","Nose Pins","Rose Gold, Gold, Silver","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1163"
"Filigree Floral Statement Maang Tikka","Filigree floral maang tikka with a statement finish — perfect for anniversaries.","2459","2079","Maang Tikka","Kundan, Silver, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1164"
"Temple Jhumka Ethnic Necklaces","Temple jhumka necklace with a ethnic finish — perfect for anniversaries.","3909","2839","Necklaces","Rose Gold, Gold, Silver","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1165"
"Antique Cluster Festive Pendants","Antique cluster pendant with a festive finish — perfect for daily wear.","6679","5129","Pendants","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1166"
"Antique Leaf Boho Jewellery Sets","Handcrafted Antique jewellery set featuring a leaf motif, ideal for anniversaries.","37029","28499","Jewellery Sets","Gold, Rose Gold, Silver","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1167"
"Jadau Solitaire Handcrafted Maang Tikka","Jadau solitaire maang tikka with a handcrafted finish — perfect for office wear.","9009","","Maang Tikka","Kundan, Silver, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1168"
"Polki Jhumka Office Wear Pendants","Elegant office wear pendant in Polki, designed to elevate any parties look.","7029","","Pendants","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1169"
"Sterling Silver Leaf Handcrafted Jewellery Sets","A timeless Sterling Silver jewellery set — leaf-inspired design that pairs beautifully for festive occasions.","14169","11359","Jewellery Sets","Gold, Silver, Rose Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1170"
"Gold-Plated Solitaire Party Wear Bangles","Handcrafted Gold-Plated bangle set featuring a solitaire motif, ideal for parties.","7859","6229","Bangles","2.10, 2.4, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1171"
"Antique Leaf Designer Mangalsutra","Elegant designer mangalsutra in Antique, designed to elevate any traditional ceremonies look.","19219","16679","Mangalsutra","Rose Gold, Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1172"
"Oxidised Silver Jhumka Statement Bangles","Statement bangle set with intricate jhumka detailing and a lightweight Oxidised Silver body.","4679","","Bangles","2.10, 2.4, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1173"
"Rose Gold Chandbali Festive Nose Pins","Elegant festive nose pin in Rose Gold, designed to elevate any weddings look.","1479","1169","Nose Pins","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1174"
"Kundan Temple Coin Ethnic Bracelets","A timeless Kundan bracelet — temple coin-inspired design that pairs beautifully for gifting.","11449","8399","Bracelets","Silver, Rose Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1175"
"Polki Teardrop Handcrafted Rings","Polki teardrop ring with a handcrafted finish — perfect for festive occasions.","8739","7459","Rings","7, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1176"
"Antique Leaf Vintage Anklets","Vintage anklet with intricate leaf detailing and a lightweight Antique body.","1219","","Anklets","Silver, Gold","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1177"
"Temple Jhumka Boho Nose Pins","A timeless Temple nose pin — jhumka-inspired design that pairs beautifully for weddings.","1609","989","Nose Pins","Silver, Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1178"
"Pearl Heart Office Wear Nathiya (Nose Ring)","Elegant office wear nath in Pearl, designed to elevate any weddings look.","1389","","Nathiya (Nose Ring)","Kundan, Gold","https://loremflickr.com/600/600/nath,jewellery,bridal?lock=1179"
"Jadau Geometric Handcrafted Necklaces","A timeless Jadau necklace — geometric-inspired design that pairs beautifully for traditional ceremonies.","12479","10939","Necklaces","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1180"
"Temple Geometric Boho Bracelets","Elegant boho bracelet in Temple, designed to elevate any gifting look.","6119","4459","Bracelets","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1181"
"Temple Layered Bridal Maang Tikka","Bridal maang tikka with intricate layered detailing and a lightweight Temple body.","7709","4809","Maang Tikka","Gold, Silver, Kundan","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1182"
"Oxidised Silver Chandbali Traditional Nathiya (Nose Ring)","Elegant traditional nath in Oxidised Silver, designed to elevate any office wear look.","7079","5739","Nathiya (Nose Ring)","Kundan, Gold","https://loremflickr.com/600/600/nath,jewellery,bridal?lock=1183"
"Oxidised Silver Geometric Traditional Jewellery Sets","Elegant traditional jewellery set in Oxidised Silver, designed to elevate any office wear look.","33499","23899","Jewellery Sets","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1184"
"Oxidised Silver Paisley Minimalist Maang Tikka","A timeless Oxidised Silver maang tikka — paisley-inspired design that pairs beautifully for parties.","8529","6899","Maang Tikka","Kundan, Silver, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1185"
"Oxidised Silver Lotus Designer Toe Rings","A timeless Oxidised Silver toe ring — lotus-inspired design that pairs beautifully for parties.","1279","1019","Toe Rings","Silver, Oxidised","https://loremflickr.com/600/600/toe,ring,silver?lock=1186"
"Beaded Infinity Contemporary Brooches","A timeless Beaded brooch — infinity-inspired design that pairs beautifully for anniversaries.","5179","4409","Brooches","Gold, Silver, Antique","https://loremflickr.com/600/600/brooch,jewellery?lock=1187"
"Sterling Silver Temple Coin Festive Nose Pins","Sterling Silver temple coin nose pin with a festive finish — perfect for parties.","3049","","Nose Pins","Gold, Rose Gold, Silver","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1188"
"Kundan Choker Traditional Maang Tikka","Kundan choker maang tikka with a traditional finish — perfect for gifting.","6339","","Maang Tikka","Gold, Silver, Kundan","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1189"
"Pearl Paisley Boho Anklets","A timeless Pearl anklet — paisley-inspired design that pairs beautifully for daily wear.","3839","3259","Anklets","Oxidised, Gold, Silver","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1190"
"Rose Gold Heart Contemporary Chains","Elegant contemporary chain in Rose Gold, designed to elevate any traditional ceremonies look.","9699","6159","Chains","Gold, Silver","https://loremflickr.com/600/600/chain,gold,jewellery?lock=1191"
"Cubic Zirconia Layered Festive Chains","Cubic Zirconia layered chain with a festive finish — perfect for weddings.","14389","10489","Chains","Rose Gold, Gold","https://loremflickr.com/600/600/chain,gold,jewellery?lock=1192"
"Cubic Zirconia Floral Handcrafted Toe Rings","Handcrafted Cubic Zirconia toe ring featuring a floral motif, ideal for weddings.","689","429","Toe Rings","Oxidised, Silver","https://loremflickr.com/600/600/toe,ring,silver?lock=1193"
"Beaded Infinity Minimalist Anklets","A timeless Beaded anklet — infinity-inspired design that pairs beautifully for office wear.","859","749","Anklets","Gold, Oxidised","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1194"
"Jadau Paisley Everyday Bangles","Everyday bangle set with intricate paisley detailing and a lightweight Jadau body.","11819","8459","Bangles","2.10, 2.4, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1195"
"Rose Gold Layered Designer Necklaces","Handcrafted Rose Gold necklace featuring a layered motif, ideal for traditional ceremonies.","18679","13379","Necklaces","Rose Gold, Silver","https://loremflickr.com/600/600/necklace,jewellery,gold?lock=1196"
"Oxidised Silver Paisley Statement Bangles","Statement bangle set with intricate paisley detailing and a lightweight Oxidised Silver body.","14199","8749","Bangles","2.10, 2.4, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1197"
"Temple Lotus Ethnic Bracelets","Temple lotus bracelet with a ethnic finish — perfect for gifting.","8069","","Bracelets","Silver, Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1198"
"Sterling Silver Lotus Royal Anklets","Handcrafted Sterling Silver anklet featuring a lotus motif, ideal for office wear.","1939","","Anklets","Gold, Silver, Oxidised","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1199"
"Gold-Plated Infinity Minimalist Bracelets","Handcrafted Gold-Plated bracelet featuring a infinity motif, ideal for office wear.","2619","","Bracelets","Gold, Silver, Rose Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1200"
"Jadau Temple Coin Office Wear Toe Rings","Jadau temple coin toe ring with a office wear finish — perfect for traditional ceremonies.","1289","879","Toe Rings","Oxidised, Silver","https://loremflickr.com/600/600/toe,ring,silver?lock=1201"
"Antique Infinity Everyday Toe Rings","Elegant everyday toe ring in Antique, designed to elevate any anniversaries look.","959","589","Toe Rings","Silver, Oxidised","https://loremflickr.com/600/600/toe,ring,silver?lock=1202"
"American Diamond Solitaire Minimalist Bracelets","Minimalist bracelet with intricate solitaire detailing and a lightweight American Diamond body.","4469","3719","Bracelets","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1203"
"Pearl Cluster Vintage Nose Pins","A timeless Pearl nose pin — cluster-inspired design that pairs beautifully for weddings.","989","739","Nose Pins","Silver, Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1204"
"Kundan Peacock Royal Brooches","Kundan peacock brooch with a royal finish — perfect for parties.","449","379","Brooches","Gold, Antique","https://loremflickr.com/600/600/brooch,jewellery?lock=1205"
"Beaded Peacock Ethnic Mangalsutra","Beaded peacock mangalsutra with a ethnic finish — perfect for weddings.","17829","","Mangalsutra","Gold, Rose Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1206"
"Meenakari Jhumka Festive Mangalsutra","Meenakari jhumka mangalsutra with a festive finish — perfect for daily wear.","2559","2039","Mangalsutra","Gold, Rose Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1207"
"Temple Chandbali Handcrafted Bangles","Handcrafted bangle set with intricate chandbali detailing and a lightweight Temple body.","14359","11809","Bangles","2.6, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1208"
"Oxidised Silver Lotus Statement Jewellery Sets","Statement jewellery set with intricate lotus detailing and a lightweight Oxidised Silver body.","45839","","Jewellery Sets","Gold, Silver, Rose Gold","https://loremflickr.com/600/600/jewellery,set,bridal,gold?lock=1209"
"Filigree Floral Traditional Mangalsutra","A timeless Filigree mangalsutra — floral-inspired design that pairs beautifully for weddings.","7609","6369","Mangalsutra","Rose Gold, Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1210"
"Temple Leaf Everyday Bangles","Temple leaf bangle set with a everyday finish — perfect for parties.","5439","3379","Bangles","2.10, 2.4, 2.6","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1211"
"American Diamond Layered Boho Maang Tikka","Handcrafted American Diamond maang tikka featuring a layered motif, ideal for festive occasions.","1959","1479","Maang Tikka","Kundan, Silver, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1212"
"Rose Gold Geometric Traditional Mangalsutra","Rose Gold geometric mangalsutra with a traditional finish — perfect for gifting.","16319","10139","Mangalsutra","Rose Gold, Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1213"
"Beaded Teardrop Party Wear Toe Rings","A timeless Beaded toe ring — teardrop-inspired design that pairs beautifully for gifting.","929","659","Toe Rings","Oxidised, Silver","https://loremflickr.com/600/600/toe,ring,silver?lock=1214"
"Oxidised Silver Lotus Vintage Toe Rings","Elegant vintage toe ring in Oxidised Silver, designed to elevate any office wear look.","369","259","Toe Rings","Silver, Oxidised","https://loremflickr.com/600/600/toe,ring,silver?lock=1215"
"Kundan Jhumka Traditional Earrings","Traditional earrings with intricate jhumka detailing and a lightweight Kundan body.","7779","5249","Earrings","Gold, Oxidised","https://loremflickr.com/600/600/earrings,jewellery?lock=1216"
"Cubic Zirconia Floral Contemporary Mangalsutra","Cubic Zirconia floral mangalsutra with a contemporary finish — perfect for gifting.","4939","3089","Mangalsutra","Rose Gold, Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1217"
"Diamond-Cut Lotus Boho Anklets","Boho anklet with intricate lotus detailing and a lightweight Diamond-Cut body.","4979","","Anklets","Gold, Silver","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1218"
"Meenakari Chandbali Statement Rings","Meenakari chandbali ring with a statement finish — perfect for office wear.","16959","10969","Rings","8, 9, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1219"
"Oxidised Silver Leaf Vintage Bracelets","Vintage bracelet with intricate leaf detailing and a lightweight Oxidised Silver body.","10429","7589","Bracelets","Rose Gold, Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1220"
"Diamond-Cut Solitaire Boho Brooches","Elegant boho brooch in Diamond-Cut, designed to elevate any parties look.","3999","3309","Brooches","Antique, Gold, Silver","https://loremflickr.com/600/600/brooch,jewellery?lock=1221"
"Antique Layered Bridal Nose Pins","Bridal nose pin with intricate layered detailing and a lightweight Antique body.","1609","1279","Nose Pins","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1222"
"Diamond-Cut Geometric Ethnic Brooches","Ethnic brooch with intricate geometric detailing and a lightweight Diamond-Cut body.","5019","4409","Brooches","Antique, Gold","https://loremflickr.com/600/600/brooch,jewellery?lock=1223"
"Jadau Lotus Royal Nose Pins","Elegant royal nose pin in Jadau, designed to elevate any parties look.","3649","","Nose Pins","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1224"
"American Diamond Choker Vintage Bracelets","A timeless American Diamond bracelet — choker-inspired design that pairs beautifully for weddings.","6879","6039","Bracelets","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/bracelet,jewellery?lock=1225"
"Rose Gold Lotus Vintage Toe Rings","A timeless Rose Gold toe ring — lotus-inspired design that pairs beautifully for weddings.","419","","Toe Rings","Oxidised, Silver","https://loremflickr.com/600/600/toe,ring,silver?lock=1226"
"Diamond-Cut Solitaire Boho Maang Tikka","Boho maang tikka with intricate solitaire detailing and a lightweight Diamond-Cut body.","7749","4859","Maang Tikka","Silver, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1227"
"Beaded Paisley Boho Anklets","Beaded paisley anklet with a boho finish — perfect for festive occasions.","3219","","Anklets","Silver, Oxidised, Gold","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1228"
"American Diamond Jhumka Ethnic Brooches","Ethnic brooch with intricate jhumka detailing and a lightweight American Diamond body.","3209","2109","Brooches","Silver, Antique, Gold","https://loremflickr.com/600/600/brooch,jewellery?lock=1229"
"Kundan Peacock Statement Pendants","Handcrafted Kundan pendant featuring a peacock motif, ideal for parties.","7139","","Pendants","Rose Gold, Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1230"
"Pearl Heart Festive Mangalsutra","Handcrafted Pearl mangalsutra featuring a heart motif, ideal for anniversaries.","12839","11149","Mangalsutra","Rose Gold, Gold","https://loremflickr.com/600/600/mangalsutra,necklace,gold?lock=1231"
"Gold-Plated Infinity Vintage Anklets","Gold-Plated infinity anklet with a vintage finish — perfect for festive occasions.","4079","2889","Anklets","Silver, Gold, Oxidised","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1232"
"Pearl Solitaire Ethnic Toe Rings","A timeless Pearl toe ring — solitaire-inspired design that pairs beautifully for anniversaries.","599","399","Toe Rings","Oxidised, Silver","https://loremflickr.com/600/600/toe,ring,silver?lock=1233"
"Polki Cluster Ethnic Maang Tikka","Elegant ethnic maang tikka in Polki, designed to elevate any festive occasions look.","8199","6789","Maang Tikka","Kundan, Gold, Silver","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1234"
"Jadau Heart Contemporary Bangles","Contemporary bangle set with intricate heart detailing and a lightweight Jadau body.","7119","","Bangles","2.10, 2.4, 2.6, 2.8","https://loremflickr.com/600/600/bangle,jewellery,gold?lock=1235"
"Pearl Heart Festive Nose Pins","Pearl heart nose pin with a festive finish — perfect for traditional ceremonies.","2299","1499","Nose Pins","Silver, Gold, Rose Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1236"
"Temple Layered Royal Rings","Handcrafted Temple ring featuring a layered motif, ideal for festive occasions.","19199","14179","Rings","7, 9, 10, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1237"
"Gold-Plated Teardrop Boho Maang Tikka","A timeless Gold-Plated maang tikka — teardrop-inspired design that pairs beautifully for festive occasions.","5479","3629","Maang Tikka","Gold, Kundan, Silver","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1238"
"Polki Cluster Statement Maang Tikka","A timeless Polki maang tikka — cluster-inspired design that pairs beautifully for parties.","9579","","Maang Tikka","Silver, Kundan","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1239"
"Polki Teardrop Vintage Anklets","Elegant vintage anklet in Polki, designed to elevate any festive occasions look.","2839","","Anklets","Oxidised, Gold","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1240"
"Polki Teardrop Boho Nose Pins","Handcrafted Polki nose pin featuring a teardrop motif, ideal for daily wear.","1159","","Nose Pins","Silver, Rose Gold, Gold","https://loremflickr.com/600/600/nose,ring,jewellery?lock=1241"
"Temple Infinity Royal Toe Rings","Elegant royal toe ring in Temple, designed to elevate any gifting look.","1849","1289","Toe Rings","Silver, Oxidised","https://loremflickr.com/600/600/toe,ring,silver?lock=1242"
"Meenakari Geometric Royal Maang Tikka","Handcrafted Meenakari maang tikka featuring a geometric motif, ideal for parties.","2919","","Maang Tikka","Gold, Kundan, Silver","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1243"
"Antique Teardrop Royal Rings","Antique teardrop ring with a royal finish — perfect for festive occasions.","22959","14689","Rings","7, 8, 9, 10","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1244"
"Meenakari Cluster Vintage Anklets","Vintage anklet with intricate cluster detailing and a lightweight Meenakari body.","4119","","Anklets","Gold, Silver, Oxidised","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1245"
"Kundan Layered Boho Brooches","Elegant boho brooch in Kundan, designed to elevate any gifting look.","2179","","Brooches","Silver, Antique","https://loremflickr.com/600/600/brooch,jewellery?lock=1246"
"American Diamond Leaf Handcrafted Pendants","Handcrafted pendant with intricate leaf detailing and a lightweight American Diamond body.","6959","5499","Pendants","Gold, Silver","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1247"
"Pearl Temple Coin Party Wear Earrings","Elegant party wear earrings in Pearl, designed to elevate any daily wear look.","509","","Earrings","Rose Gold, Silver, Gold","https://loremflickr.com/600/600/earrings,jewellery?lock=1248"
"Meenakari Cluster Contemporary Brooches","Elegant contemporary brooch in Meenakari, designed to elevate any parties look.","2449","1919","Brooches","Gold, Antique, Silver","https://loremflickr.com/600/600/brooch,jewellery?lock=1249"
"Kundan Geometric Vintage Anklets","Kundan geometric anklet with a vintage finish — perfect for office wear.","409","249","Anklets","Silver, Oxidised, Gold","https://loremflickr.com/600/600/anklet,silver,jewellery?lock=1250"
"Polki Choker Royal Brooches","Polki choker brooch with a royal finish — perfect for office wear.","1479","979","Brooches","Antique, Gold","https://loremflickr.com/600/600/brooch,jewellery?lock=1251"
"Jadau Layered Bridal Pendants","Jadau layered pendant with a bridal finish — perfect for weddings.","6839","","Pendants","Silver, Gold","https://loremflickr.com/600/600/pendant,necklace,jewellery?lock=1252"
"Pearl Cluster Party Wear Maang Tikka","Pearl cluster maang tikka with a party wear finish — perfect for festive occasions.","4189","2689","Maang Tikka","Silver, Kundan, Gold","https://loremflickr.com/600/600/tikka,jewellery,bridal?lock=1253"
"Polki Layered Handcrafted Rings","Polki layered ring with a handcrafted finish — perfect for parties.","12319","","Rings","7, 8, 12","https://loremflickr.com/600/600/ring,jewellery,diamond?lock=1254"
